|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJiWoUR37IwoARrOFdfFNcvQM,ChIJiWoUR37IwoARrOFdfFNcvQM,One Stop Liquor,4.4,209,"2315 South Central Avenue, Los Angeles",34.0209867,-118.2541777,northeast,34.02216863,-118.2527861,,2315 South Central Avenue, Los Angeles,90240,liquor_store,store,,,,,,,
ChIJb5H2HH6w4RQRB9EgIonZ3fM,ChIJb5H2HH6w4RQRB9EgIonZ3fM,Quimbayo Income Tax,4,22,"2525 South Central Avenue, Los Angeles",34.0191778,-118.2550138,northeast,34.02049918,-118.2535599,,2525 South Central Avenue, Los Angeles,90240,accounting,finance,,,,,,,
ChIJmfFEdn7IwoARDKARbXxWvc8,ChIJmfFEdn7IwoARDKARbXxWvc8,LEXXI & EMERI BEAUTY SUPPLY,2.5,11,"2518 South Central Avenue, Los Angeles",34.0192703,-118.2545551,northeast,34.02065518,-118.2532879,https://lexxi-emeri-beauty-supply.business.site/,2518 South Central Avenue, Los Angeles,90240,store,,,,,,,,
ChIJeTCTHH_IwoARd3Q2rZiATYw,ChIJeTCTHH_IwoARd3Q2rZiATYw,Second Baptist Church,4.6,20,"2412 Griffith Avenue, Los Angeles",34.0212395,-118.2562194,northeast,34.02265778,-118.2550291,http://secondbaptistchurchla.org/,2412 Griffith Avenue, Los Angeles,90240,church,place_of_worship,,,,,,,
ChIJ9V8xdw_JwoARZhgHolAsvSM,ChIJ9V8xdw_JwoARZhgHolAsvSM,JP Merlos Plumbing & Rooter,5,11,"907 East Adams Boulevard, Los Angeles",34.0199819,-118.2569793,northeast,34.02120933,-118.2557054,,907 East Adams Boulevard, Los Angeles,90240,plumber,,,,,,,,
ChIJWcZLUGLJwoARMyjok1-wGA4,ChIJWcZLUGLJwoARMyjok1-wGA4,Azure Service Inc,,,"932 East Adams Boulevard #120, Los Angeles",34.0191521,-118.2566138,northeast,34.02063813,-118.2551741,,932 East Adams Boulevard #120, Los Angeles,90240,general_contractor,,,,,,,,
ChIJxTilj37IwoARBH_BiKUO8-U,ChIJxTilj37IwoARBH_BiKUO8-U,Adams Apartment Community,,,"949 East Adams Boulevard, Los Angeles",34.0194832,-118.2561664,northeast,34.02076233,-118.2548656,,949 East Adams Boulevard, Los Angeles,90240,,,,,,,,,
ChIJ6wB7O37IwoARIPUzS5H_dVU,ChIJ6wB7O37IwoARIPUzS5H_dVU,Super Dollar Store,4.1,106,"2220 South Central Avenue, Los Angeles",34.0210512,-118.2535129,northeast,34.02240363,-118.2522373,,2220 South Central Avenue, Los Angeles,90240,store,,,,,,,,
ChIJaaR8Fn7IwoARg1QyG1Wif8w,ChIJaaR8Fn7IwoARg1QyG1Wif8w,Mission Evangelica,4.9,11,"2300 South Central Avenue, Los Angeles",34.020473,-118.253717,northeast,34.02191723,-118.2525277,http://www.pulpitodelaire.org/,2300 South Central Avenue, Los Angeles,90240,church,place_of_worship,,,,,,,
ChIJ5y5GJX7IwoARpld-zJTNFOY,ChIJ5y5GJX7IwoARpld-zJTNFOY,Eloisa's Plaza,3,2,"2210 South Central Avenue, Los Angeles",34.0212454,-118.2532508,northeast,34.02264433,-118.251982,https://www.eloisasboutiquee.com/,2210 South Central Avenue, Los Angeles,90240,shopping_mall,,,,,,,,
ChIJd9ZCJX7IwoARJlnc59Gq-PI,ChIJd9ZCJX7IwoARJlnc59Gq-PI,Central Video,4.2,22,"2208 South Central Avenue, Los Angeles",34.0212794,-118.2532636,northeast,34.02266963,-118.2519809,,2208 South Central Avenue, Los Angeles,90240,movie_rental,,,,,,,,
ChIJX0OBJX7IwoARmtFCaKKhntg,ChIJX0OBJX7IwoARmtFCaKKhntg,Medicina Alternativa USA,4.3,4,"2204 South Central Avenue, Los Angeles",34.021369,-118.253192,northeast,34.02275508,-118.2519083,http://www.mauvida.com/,2204 South Central Avenue, Los Angeles,90240,health,store,,,,,,,
ChIJafx5JX7IwoARGKhgYNyo3DU,ChIJafx5JX7IwoARGKhgYNyo3DU,Orozco's cake,4.2,12,"2206 South Central Avenue, Los Angeles",34.0212991,-118.2531493,northeast,34.02272013,-118.2518869,https://larios-bakery.negocio.site/?utm_source=gmb&utm_medium=referral,2206 South Central Avenue, Los Angeles,90240,bakery,food,store,,,,,,
ChIJD1piJn7IwoAR0Vmb7j9wKHo,ChIJD1piJn7IwoAR0Vmb7j9wKHo,El Torito Meat Market,3.7,20,"2200 South Central Avenue, Los Angeles",34.0214566,-118.2531093,northeast,34.02276633,-118.2518669,,2200 South Central Avenue, Los Angeles,90240,grocery_or_supermarket,food,store,,,,,,
ChIJjYphMX7IwoARG5Xw82BNQ-M,ChIJjYphMX7IwoARG5Xw82BNQ-M,Vic's Auto Complete Auto Repair,,,"East 23rd Street, Los Angeles",34.0215881,-118.2536448,northeast,34.02289918,-118.2523205,,East 23rd Street, Los Angeles,90240,car_repair,,,,,,,,
ChIJCYvOLX7IwoARi52lNgN5Rfw,ChIJCYvOLX7IwoARi52lNgN5Rfw,Irene’s Restaurant,4.1,33,"2215 South Central Avenue, Los Angeles",34.021805,-118.253247,northeast,34.02310263,-118.2518162,,2215 South Central Avenue, Los Angeles,90240,restaurant,food,,,,,,,
