|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJr1eVmlS_woAR4SY-T3ubVf4,ChIJr1eVmlS_woAR4SY-T3ubVf4,Montejo Junk Removal,,,"1319 North Harvard Boulevard #11, Los Angeles",34.0955392,-118.3044686,northeast,34.09688833,-118.3030635,http://www.montejojunkremoval.com/,1319 North Harvard Boulevard #11, Los Angeles,90027,,,,,,,,,
ChIJ0Z2tiVS_woARsyGx4gMoObc,ChIJ0Z2tiVS_woARsyGx4gMoObc,Central Officers,,,"1343 North Harvard Boulevard, Los Angeles",34.0961849,-118.3046527,northeast,34.09753428,-118.3031569,http://centralofficers.com/,1343 North Harvard Boulevard, Los Angeles,90027,,,,,,,,,
ChIJySjFh1S_woAR42-YEZc3Fko,ChIJySjFh1S_woAR42-YEZc3Fko,Harvard Court Garden House,,,"1343 North Harvard Boulevard, Los Angeles",34.0961584,-118.3045981,northeast,34.09750718,-118.3031295,,1343 North Harvard Boulevard, Los Angeles,90027,,,,,,,,,
ChIJMSP3iFS_woARkKl9-mqFQsA,ChIJMSP3iFS_woARkKl9-mqFQsA,Harvard Court,,,"1331 North Harvard Boulevard, Los Angeles",34.0961331,-118.304643,northeast,34.09748338,-118.3031519,,1331 North Harvard Boulevard, Los Angeles,90027,courthouse,,,,,,,,
ChIJr1g3gFS_woARkoDdtgfkCxA,ChIJr1g3gFS_woARkoDdtgfkCxA,Hobart Gardens Apartments,,,"1344 North Hobart Boulevard, Los Angeles",34.095996,-118.305208,northeast,34.09745483,-118.3040712,,1344 North Hobart Boulevard, Los Angeles,90027,,,,,,,,,
ChIJwYeuqFO_woAR8BNcTW6knSQ,ChIJwYeuqFO_woAR8BNcTW6knSQ,Hollywood Garden Apartments,,,"5407 ½ Fernwood Avenue, Los Angeles",34.0958391,-118.3075066,northeast,34.09707858,-118.306152,https://www.fernwoodapts.com/contact-us/,5407 ½ Fernwood Avenue, Los Angeles,90027,,,,,,,,,
ChIJHwQeplO_woARiqHYwwxZc1M,ChIJHwQeplO_woARiqHYwwxZc1M,Daniel's Repair,5,1,"5685, 5419 1/2 Fernwood Avenue, Los Angeles",34.095792,-118.307516,northeast,34.09705483,-118.3061626,https://www.danielsrepair.com/,5685, 5419 1/2 Fernwood Avenue,90027,,,,,,,,,
ChIJAeGF6Yu_woARJbicbVzO4Xc,ChIJAeGF6Yu_woARJbicbVzO4Xc,Netflix on Serrano,,,"5433 Fernwood Avenue, Los Angeles",34.0961919,-118.3082667,northeast,34.09745703,-118.3069137,,5433 Fernwood Avenue, Los Angeles,90027,,,,,,,,,
ChIJpfI44Ga_woARwGY-DvohRMU,ChIJpfI44Ga_woARwGY-DvohRMU,Netflix Los Angeles,5,2,"1377 North Serrano Avenue, Los Angeles",34.0963055,-118.3078825,northeast,34.09752018,-118.3065271,,1377 North Serrano Avenue, Los Angeles,90027,,,,,,,,,
ChIJN5-QW1K_woARxcgQZUp_k0o,ChIJN5-QW1K_woARxcgQZUp_k0o,Covenant House of California,4,113,"1325 North Western Avenue, Los Angeles",34.0956149,-118.309499,northeast,34.09689803,-118.3080131,http://www.covenanthousecalifornia.org/,1325 North Western Avenue, Los Angeles,90027,,,,,,,,,
ChIJPTAEUlK_woARQWn96GwuPy4,ChIJPTAEUlK_woARQWn96GwuPy4,Deluxe Digital Cinema,4.6,5,"1377 North Serrano Avenue, Los Angeles",34.0956885,-118.3090332,northeast,34.09697538,-118.3076809,http://digitalcinema.bydeluxe.com/,1377 North Serrano Avenue, Los Angeles,90027,,,,,,,,,
ChIJx97sWVK_woARDc4GF4kubtE,ChIJx97sWVK_woARDc4GF4kubtE,60out Escape Rooms - Hollywood,4.8,86,"1316 North Western Avenue, Los Angeles",34.095432,-118.309021,northeast,34.09678178,-118.3077735,http://www.60out.com/,1316 North Western Avenue, Los Angeles,90027,,,,,,,,,
ChIJH6KQW1K_woARUbH3PsrSFgw,ChIJH6KQW1K_woARUbH3PsrSFgw,"Ana R. Mendez, MSW",,,"1325 North Western Avenue, Los Angeles",34.0955788,-118.3094365,northeast,34.09703318,-118.3080867,,1325 North Western Avenue, Los Angeles,90027,doctor,health,,,,,,,
ChIJH6KQW1K_woARGEgvzBAL1pM,ChIJH6KQW1K_woARGEgvzBAL1pM,"Brittaney Dennis, MSW",,,"1325 North Western Avenue, Los Angeles",34.0955788,-118.3094365,northeast,34.09703318,-118.3080867,,1325 North Western Avenue, Los Angeles,90027,doctor,health,,,,,,,
ChIJV6Ra_1K_woAR_1vE7J5kVBI,ChIJV6Ra_1K_woAR_1vE7J5kVBI,Wagstaff,4.3,3,"5443 Fountain Avenue, Los Angeles",34.095251,-118.308521,northeast,34.09665248,-118.3072109,http://www.wagstaffmktg.com/,5443 Fountain Avenue, Los Angeles,90027,,,,,,,,,
ChIJN5-QW1K_woARFHRrlFXAUxM,ChIJN5-QW1K_woARFHRrlFXAUxM,Montano Maria,,,"1325 North Western Avenue, Los Angeles",34.0955788,-118.3094365,northeast,34.09703318,-118.3080867,,1325 North Western Avenue, Los Angeles,90027,doctor,health,,,,,,,
ChIJcxUJWFK_woARLZw1YabPvv8,ChIJcxUJWFK_woARLZw1YabPvv8,76,,,United States,34.0951837,-118.3089964,northeast,34.09657863,-118.3076449,,,United States,90027,gas_station,,,,,,,,
ChIJj87YSrG_woARb3WzXwy7CEg,ChIJj87YSrG_woARb3WzXwy7CEg,76,3.9,38,"1300 North Western Avenue, Los Angeles",34.0951801,-118.308973,northeast,34.09652998,-118.3077509,https://www.76.com/?utm_source=G&utm_medium=local&utm_campaign=google-local,1300 North Western Avenue, Los Angeles,90027,gas_station,,,,,,,,
ChIJkwjGOFK_woARqDgRmx9i_X0,ChIJkwjGOFK_woARqDgRmx9i_X0,King Buffet,4.2,2558,"1375 North Western Avenue, Los Angeles",34.096541,-118.309387,northeast,34.09777668,-118.3080531,,1375 North Western Avenue, Los Angeles,90027,restaurant,food,,,,,,,
ChIJX9xozVO_woAR59pzEBX4S_Y,ChIJX9xozVO_woAR59pzEBX4S_Y,Coinstar,3,2,"5420 Sunset Boulevard, Los Angeles",34.097271,-118.308105,northeast,34.09872993,-118.3067573,https://www.coinstar.com/,5420 Sunset Boulevard, Los Angeles,90027,finance,,,,,,,,
ChIJX9xozVO_woARUVGkoLYxLZU,ChIJX9xozVO_woARUVGkoLYxLZU,Todo Auto Insurance,,,"5420 Sunset Boulevard, Los Angeles",34.0970089,-118.3077629,northeast,34.09816998,-118.30641,,5420 Sunset Boulevard, Los Angeles,90027,insurance_agency,,,,,,,,
ChIJj3iGyUu_woAR93dayZ-uB7s,ChIJj3iGyUu_woAR93dayZ-uB7s,KeyMe Locksmiths,,,"5420 Sunset Boulevard, Los Angeles",34.0969,-118.3077,northeast,34.09811593,-118.3063483,https://www.key.me/kiosks/california/hollywood/hollywood/locksmith-key-copy-hollywood-food-4-less-90027-california,5420 Sunset Boulevard, Los Angeles,90027,locksmith,,,,,,,,
ChIJX9xozVO_woARaXaRZC4EmHA,ChIJX9xozVO_woARaXaRZC4EmHA,Hollywood's AIS,3.8,6,"5420 Sunset Boulevard, Los Angeles",34.097008,-118.3078536,northeast,34.09835698,-118.3065046,,5420 Sunset Boulevard, Los Angeles,90027,insurance_agency,,,,,,,,
ChIJo5YfuZW_woAR0nbCtZxO4bc,ChIJo5YfuZW_woAR0nbCtZxO4bc,D'SChimney&DryerVentCleaning,4.4,8,"5420 Sunset Boulevard, Los Angeles",34.0969439,-118.3076554,northeast,34.09813823,-118.3063032,,5420 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJSeOLz9C_woARqKOjFvkqPR8,ChIJSeOLz9C_woARqKOjFvkqPR8,Zhengez 54,,,"5420 Sunset Boulevard, Los Angeles",34.0969439,-118.3076554,northeast,34.09813823,-118.3063032,,5420 Sunset Boulevard, Los Angeles,90027,home_goods_store,store,,,,,,,
ChIJHyDEtMa_woAR0ufJYXY_cuk,ChIJHyDEtMa_woAR0ufJYXY_cuk,KrogerFood 4 Less0362,,,"5420 Sunset Boulevard, Los Angeles",34.096944,-118.307655,northeast,34.09813828,-118.3063028,https://locations.ecoatm.com/ca/losangeles/sell-my-phone-losangeles-ca-8581.html,5420 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJ8eYcm1G_woARqQSRhmBMQ8Y,ChIJ8eYcm1G_woARqQSRhmBMQ8Y,Redbox,5,1,"5420 Sunset Boulevard, Los Angeles",34.0973442,-118.3081555,northeast,34.09876633,-118.3068074,https://www.redbox.com/locations/california/los-angeles/90027/37461,5420 Sunset Boulevard, Los Angeles,90027,movie_rental,store,,,,,,,
ChIJ6RxUvgaXwoARnt0zMbTTqlc,ChIJ6RxUvgaXwoARnt0zMbTTqlc,National Electcal Conactors,,,"1409 North Hobart Boulevard, Los Angeles",34.0969713,-118.305896,northeast,34.09832088,-118.3044176,,1409 North Hobart Boulevard, Los Angeles,90027,church,place_of_worship,,,,,,,
ChIJiYW7aFS_woARv2Fu6wl3Xi0,ChIJiYW7aFS_woARv2Fu6wl3Xi0,Leeds Property,,,"5225 De Longpre Avenue, Los Angeles",34.0967845,-118.3040711,northeast,34.09807283,-118.3027216,http://www.benleedsproperties.com/,5225 De Longpre Avenue, Los Angeles,90027,real_estate_agency,,,,,,,,
